X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X91,X94,X95,X96,X97,X98,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X136,X137,X138,X139,X140,X141,X142,X143,fiscal_year,X742,X736
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,12,2,14,7,7,5,0,0,1,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.5,37382
Communication Security Establishment Canada,92,37,129,87,42,49,8,0,4,17,14,16,19,1,0,0,0,0,21,56,2,0,0,2,0,2,0,2,0,0,18,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,2015-2016,5.02,440359
Copyright Board Canada,7,0,7,2,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.25,28588
Correctional Service of Canada,646,219,865,617,248,146,14,34,30,421,1,185,3,0,14,9,0,2,5,0,2,20,5,3,3,2,80,0,1,0,11,0,0,0,2,80,0,0,0,0,0,0,17,0,26,4,0,0,0,2015-2016,13,936810
Defence Construction Canada,36,6,42,32,10,2,4,18,3,9,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,7,0,7,2,0,0,0,2015-2016,3,178790
Department of Finance Canada,622,118,740,560,180,181,17,101,75,100,148,29,14,19,10,0,0,40,26,1,5,1,0,0,6,11,0,3,2,0,165,0,0,0,0,0,0,0,0,0,0,11,91,4,42,21,0,0,0,2015-2016,14.75,1118499
Department of Justice Canada,574,82,656,550,106,132,40,65,35,187,115,51,22,7,18,3,2,53,1,0,0,2,3,0,7,4,0,8,2,1,7,0,1,1,0,0,0,0,0,0,0,3,6,0,23,2,0,0,0,2015-2016,16.77,1500234
Destination Canada,2,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.1,12000
Elections Canada,46,21,67,54,13,8,2,8,15,8,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,2015-2016,1.85,179106
Employment and Social Development Canada,1572,246,1818,1439,379,257,19,395,105,492,304,190,4,2,10,2,0,13,14,14,0,0,0,0,4,29,0,149,1,3,7,0,0,0,0,0,0,0,0,0,0,1,87,1,73,8,0,0,0,2015-2016,15.43,1169336
Environment and Climate Change Canada,1558,258,1816,1535,281,132,10,1076,112,94,134,124,11,4,11,4,0,14,2,0,0,0,0,0,6,24,0,16,0,1,24,0,0,0,0,0,0,0,0,0,0,0,109,0,46,10,0,0,0,2015-2016,17.3,915705
Exinvest Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,1459
Export Development Canada,13,2,15,15,0,5,0,4,2,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2015-2016,1.58,144420
Farm Credit Canada,10,0,10,9,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.5,25000
Farm Products Council of Canada,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-2016,0,0
Federal Bridge Corporation Limited,4,0,4,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,2,0
Federal Economic Development Agency for Southern Ontario,31,5,36,22,14,5,3,20,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,2015-2016,3,190941
Federal Public Service Health Care Plan Administration Authority,3,0,3,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,601
Financial Consumer Agency of Canada,5,0,5,4,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2015-2016,0.4,27100
Financial Transactions and Reports Analysis Centre of Canada,100,11,111,91,20,44,3,42,3,8,0,4,5,3,0,0,0,0,8,0,7,0,0,0,0,34,0,3,8,3,21,0,0,0,0,0,0,0,0,0,0,1,13,0,13,0,0,0,0,2015-2016,2,177000
First Nations Financial Management Board,3,0,3,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,4,12450
First Nations Tax Commission,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.22,21683
Fisheries and Oceans Canada,424,193,617,541,76,53,9,142,47,140,33,61,9,1,12,2,0,14,14,15,14,2,1,4,7,19,0,23,0,1,56,0,0,3,0,0,0,0,0,0,1,2,74,2,130,29,0,0,0,2015-2016,33.07,3002400
Freshwater Fish Marketing Corporation,7,0,7,1,6,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,137321
Global Affairs Canada,1086,385,1471,1139,332,571,119,150,39,207,0,166,160,43,5,1,0,21,484,31,66,1,0,0,3,8,0,25,4,3,59,0,0,0,0,0,0,0,0,0,0,9,172,2,152,28,2,0,0,2015-2016,53.86,4401069
Great Lakes Pilotage Authority,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.28,20300
Gwich'in Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,7,489294
Gwich'in Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Halifax Port Authority,4,0,4,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.1,6200
Hamilton Port Authority,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.03,4125
Health Canada,1222,851,2073,1026,1047,170,37,589,53,277,96,215,4,6,9,0,0,4,4,0,0,3,0,0,1,4,0,4,0,0,19,0,0,0,3,0,2,0,0,0,0,3,127,0,67,18,0,0,0,2015-2016,36.99,4303539
Historic Sites and Monuments Board of Canada,3,0,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.1,6387
Immigration and Refugee Board,171,16,187,178,9,6,16,105,16,28,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,4,2,0,0,0,2015-2016,2.16,126390
Immigration Refugees and Citizenship Canada,41660,3662,45322,40107,5215,268,1539,22906,1884,13337,1726,1692,1528,25,22,26,0,0,799,711,7375,7,4,5,85,7763,1,929,2,0,22,0,0,1,20,0,1,0,0,0,0,5,66,0,21,12,0,0,0,2015-2016,42.73,2831095
Indigenous and Northern Affairs Canada,652,123,775,627,148,176,42,101,81,252,0,37,1,1,20,4,0,0,0,3,0,1,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56,0,43,61,0,0,0,2015-2016,9.5,576556
Innovation Science and Economic Development Canada,885,137,1022,904,118,252,94,226,46,97,170,71,7,1,4,1,0,0,51,0,0,3,5,0,1,4,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,74,0,103,0,0,0,0,2015-2016,12.44,1096223
International Development Research Centre,3,1,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2015-2016,0.5,10000
Jacques Cartier and Champlain Bridges Incorporated,7,2,9,9,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,2015-2016,2.2,23125
Laurentian Pilotage Authority Canada,1,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.08,9344
Library and Archives of Canada,737,124,861,758,103,13,266,19,10,29,400,44,36,5,22,22,0,34,4,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,12,2,0,0,0,2015-2016,19.23,1331105
Mackenzie Valley Environmental Impact Review Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,1731
Mackenzie Valley Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Marine Atlantic Inc,9,3,12,12,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,2015-2016,0.3,106786
Military Grievances External Review Committee,6,0,6,6,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,2753
Military Police Complaints Commission,18,4,22,14,8,3,0,6,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,2015-2016,1.03,63450
Montreal Port Authority,3,1,4,4,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.1,15000
Nanaimo Port Authority,4,1,5,2,3,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,13767
National Arts Centre,6,1,7,7,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2015-2016,0.1,15220
National Capital Commission,103,29,132,111,21,53,1,1,17,31,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,1,0,20,1,0,1,0,0,0,2015-2016,1.94,249487
National Defence,2189,620,2809,2138,671,830,83,165,60,959,92,539,124,17,8,8,0,0,199,420,17,40,4,4,12,35,2,33,1,5,39,3,0,0,0,0,0,0,0,0,1,8,134,0,158,44,0,0,0,2015-2016,41.5,3208518
National Energy Board,57,19,76,67,9,33,1,3,4,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2015-2016,2.65,280805
National Film Board of Canada,15,1,16,14,2,1,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2015-2016,0.7,40916
National Gallery of Canada,6,0,6,4,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.06,10253
National Research Council of Canada,23,1,24,20,4,7,2,6,2,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,5,4,0,0,0,2015-2016,1.5,148965
Natural Resources Canada,430,208,638,536,102,70,9,59,46,101,145,32,29,5,11,1,3,2,109,1,0,0,0,0,1,3,0,54,0,0,14,0,0,1,3,0,0,0,0,0,0,1,91,0,77,25,0,0,0,2015-2016,21.44,1524639
Natural Sciences and Engineering Research Council of Canada,15,9,24,22,2,1,0,0,7,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,2015-2016,1.4,113137
Northern Pipeline Agency Canada,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.04,1000
Nunavut Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,5000
Office of Infrastructure of Canada,128,101,229,161,68,15,0,8,2,103,0,13,0,0,35,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,16,0,15,3,0,0,0,2015-2016,8.09,779328
